POS,PosScore,NegScore,word
a,0.0,0.625,quiescent
a,0.125,0.0,active
a,0.0,0.0,activistic
a,0.0,0.0,hands-on
a,0.0,0.0,proactive
a,0.375,0.25,passive
a,0.0,0.625,hands-off
a,0.0,0.75,unresisting
a,0.0,0.5,active
a,0.125,0.5,eruptive
a,0.0,0.0,inactive
a,0.0,0.25,quiescent
a,0.0,0.0,extinct
a,0.25,0.625,dead
a,0.0,0.5,active
a,0.5,0.0,live
a,0.0,0.0,dynamic
a,0.0,0.0,stative
a,0.0,0.0,active
a,0.0,0.0,passive
a,0.25,0.0,active
a,0.125,0.0,activated
a,0.0,0.5,counteractive
a,0.0,0.0,surface-active
a,0.0,0.625,inactive
a,0.125,0.625,quiescent
a,0.375,0.0,active
a,0.0,0.5,quiet
a,0.125,0.5,existent
a,0.5,0.0,effective
a,0.0,0.25,potential
a,0.0,0.625,latent
a,0.0,0.5,acute
a,0.0,0.0,subacute
a,0.0,0.375,chronic
a,0.0,0.375,degenerative
a,0.5,0.0,virulent
a,0.125,0.375,highly_infective
a,0.125,0.25,deadly
a,0.0,0.875,avirulent
a,0.25,0.0,adaptive
a,0.625,0.125,reconciling
a,0.0,0.0,adaptational
a,0.625,0.125,adjustive
a,0.5,0.375,maladaptive
a,0.0,0.0,nonadaptive
a,0.375,0.25,maladjustive
a,0.0,0.0,addicted
a,0.0,0.0,alcoholic
a,0.0,0.0,strung-out
a,0.0,0.125,unaddicted
a,0.5,0.0,clean
a,0.0,0.625,habit-forming
a,0.25,0.5,nonaddictive
a,0.0,0.375,additive
a,0.0,0.0,cumulative
a,0.5,0.0,addible
a,0.0,0.0,extra
a,0.125,0.125,completing
a,0.0,0.0,incremental
a,0.0,0.0,intercalary
a,0.0,0.0,summative
a,0.0,0.0,supplementary
a,0.25,0.0,subtractive
a,0.625,0.0,ablative
a,0.0,0.625,reductive
a,0.125,0.0,addressed
a,0.0,0.0,self-addressed
a,0.0,0.125,unaddressed
a,0.0,0.0,equal
a,0.375,0.25,up_to
a,0.25,0.0,competent
a,0.0,0.5,unequal
a,0.0,0.625,wanting
a,0.0,0.25,unequal_to
a,0.0,0.75,understaffed
a,0.25,0.5,adhesive
a,0.0,0.0,adherent
a,0.0,0.0,agglutinative
a,0.25,0.0,bondable
a,0.0,0.0,tenacious
a,0.0,0.5,cohesive
a,0.0,0.0,viscous
a,0.0,0.0,icky
a,0.0,0.0,gum-like
a,0.0,0.25,gummy
a,0.0,0.0,tarry
a,0.0,0.5,self-sealing
a,0.0,0.5,stick-on
a,0.0,0.0,sticky
a,0.0,0.75,nonadhesive
a,0.0,0.625,nonviscid
a,0.0,0.5,nonresiny
a,0.0,0.75,ungummed
a,0.0,0.0,procedural
a,0.125,0.0,substantive
a,0.75,0.0,adoptable
a,0.0,0.0,unadoptable
a,0.375,0.0,decorated
a,0.0,0.375,spangly
a,0.0,0.5,bedaubed
a,0.0,0.25,spectacled
a,0.0,0.0,raised
a,0.0,0.125,buttony
a,0.0,0.0,carbuncled
a,0.0,0.0,cloisonne
a,0.0,0.0,tinselly
a,0.0,0.25,plumed
a,0.0,0.0,tufted
a,0.0,0.0,crested
a,0.0,0.0,crocketed
a,0.0,0.125,plumy
a,0.0,0.125,ruffled
a,0.0,0.125,fringed
a,0.125,0.0,gilt-edged
a,0.0,0.125,inflamed
a,0.0,0.125,inlaid
a,0.0,0.0,inwrought
a,0.0,0.0,tessellated
a,0.0,0.25,mounted
a,0.0,0.125,wainscoted
a,0.0,0.375,studded
a,0.0,0.125,tapestried
a,0.0,0.125,tasselled
a,0.0,0.125,tricked-out
a,0.0,0.125,tufted
a,0.25,0.625,undecorated
a,0.125,0.25,unornamented
a,0.375,0.375,untufted
a,0.0,0.0,cholinergic
a,0.0,0.0,anticholinergic
a,0.25,0.0,adroit
a,0.625,0.0,neat
a,0.625,0.0,ingenious
a,0.0,0.0,coordinated
a,0.25,0.25,dextrous
a,0.25,0.0,handy
a,0.0,0.0,nimble-fingered
a,0.5,0.0,quick-witted
a,0.25,0.375,maladroit
a,0.125,0.75,left-handed
a,0.5,0.125,tactless
a,0.125,0.375,uncoordinated
a,0.0,0.25,unmechanical
a,0.625,0.0,advantageous
a,0.625,0.0,good
a,0.75,0.0,positive
a,0.125,0.25,preferential
a,0.75,0.25,disadvantageous
a,0.0,0.875,negative
a,0.625,0.25,adventurous
a,0.375,0.125,venturous
a,0.25,0.25,sporting
a,0.375,0.25,swashbuckling
a,0.25,0.375,unadventurous
a,0.0,0.0,safe
a,0.625,0.0,advisable
a,0.75,0.0,better
a,0.625,0.0,well
a,0.125,0.625,unadvisable
a,0.5,0.0,well-advised
a,0.0,0.0,considered
a,0.0,0.125,unadvised
a,0.0,0.0,aerophilous
a,0.0,0.0,aerobiotic
a,0.0,0.0,oxidative
a,0.0,0.375,anaerobiotic
a,0.5,0.0,aerobic
a,0.0,0.25,anaerobic
a,0.625,0.0,esthetical
a,0.625,0.0,artistic
a,0.0,0.0,enhancive
a,0.25,0.0,painterly
a,0.375,0.125,sensuous
a,0.5,0.5,unaesthetic
a,0.125,0.5,unartistic
a,0.375,0.0,affected
a,0.5,0.5,impressed
a,0.0,0.375,struck
a,0.125,0.0,stage-struck
a,0.0,0.625,subject
a,0.125,0.5,taken
a,0.0,0.5,wonder-struck
a,0.125,0.125,unaffected
a,0.0,0.625,immune
a,0.125,0.0,superior
a,0.0,0.625,unimpressed
a,0.25,0.625,untouched
a,0.0,0.0,unnatural
a,0.0,0.0,strained
a,0.0,0.25,stilted
a,0.125,0.625,strained
a,0.0,0.25,elocutionary
a,0.0,0.375,mannered
a,0.25,0.125,plummy
a,0.75,0.125,unaffected
a,0.25,0.0,natural
a,0.0,0.375,unmannered
a,0.125,0.125,unselfconscious
a,0.0,0.0,unstilted
a,0.5,0.0,affirmatory
a,0.25,0.0,assentient
a,0.0,0.75,negative
a,0.0,0.625,dissident
a,0.375,0.25,acceptive
a,0.375,0.125,accepting
a,0.125,0.5,rejective
a,0.125,0.875,dismissive
a,0.0,0.0,repudiative
a,0.0,0.0,afloat
a,0.0,0.0,adrift
a,0.0,0.0,floating
a,0.0,0.0,waterborne
a,0.0,0.0,aground
a,0.0,0.5,afraid
a,0.0,0.75,acrophobic
a,0.0,0.125,afeared
a,0.25,0.0,shocked
a,0.0,0.75,agoraphobic
a,0.0,0.625,alarmed
a,0.0,0.875,algophobic
a,0.125,0.625,apprehensive
a,0.125,0.25,hangdog
a,0.0,0.75,claustrophobic
a,0.125,0.375,fearful
a,0.0,0.125,scared
a,0.0,0.25,horror-struck
a,0.625,0.125,hunted
a,0.0,0.75,hydrophobic
a,0.0,0.75,mysophobic
a,0.0,0.0,terrified
a,0.0,0.75,numb
a,0.0,0.375,shitless
a,0.0,0.5,terror-struck
a,0.0,0.625,triskaidekaphobic
a,0.0,0.625,unnerved
a,0.125,0.0,white-lipped
a,0.0,0.75,xenophobic
a,0.25,0.125,unafraid
a,0.0,0.625,unapprehensive
a,0.25,0.375,unshrinking
a,0.625,0.25,unfrightened
a,0.5,0.0,aggressive
a,0.5,0.0,combative
a,0.5,0.125,militant
a,0.125,0.125,high-pressure
a,0.0,0.0,hostile
a,0.25,0.0,in-your-face
a,0.125,0.25,obstreperous
a,0.0,0.0,vulturous
a,0.25,0.0,rough
a,0.375,0.125,scrappy
a,0.25,0.5,truculent
a,0.0,0.625,unaggressive
a,0.125,0.375,low-pressure
a,0.0,0.5,agitated
a,0.25,0.5,worked_up
a,0.0,0.125,overwrought
a,0.0,0.5,shaken
a,0.375,0.375,hectic
a,0.25,0.5,phrenetic
a,0.125,0.625,hysterical
a,0.0,0.5,psychedelic
a,0.0,0.0,wild-eyed
a,0.125,0.625,unagitated
a,0.0,0.125,agitated
a,0.0,0.0,turbulent
a,0.25,0.0,churning
a,0.0,0.0,jolted
a,0.0,0.0,ruffled
a,0.25,0.25,seething
a,0.0,0.0,stirred
a,0.0,0.75,unagitated
a,0.0,0.25,nonturbulent
a,0.5,0.25,unstirred
a,0.5,0.0,agreeable
a,0.125,0.875,disagreeable
a,0.0,0.5,vexing
a,0.333,0.667,harsh
a,0.0,0.625,trying
a,0.0,0.625,unsweet
a,0.0,0.0,air-to-surface
a,0.0,0.0,air-to-air
a,0.0,0.0,surface-to-air
a,0.5,0.0,watchful
a,0.375,0.0,wakeful
a,0.125,0.625,fly
a,0.5,0.0,wide-awake
a,0.125,0.375,sleepless
a,0.25,0.5,unwatchful
a,0.0,0.0,algorithmic
a,0.0,0.0,recursive
a,0.0,0.0,heuristic
a,0.0,0.0,trial-and-error
a,0.0,0.0,alienable
a,0.0,0.0,appropriable
a,0.125,0.0,transferrable
a,0.125,0.375,unalienable
a,0.125,0.625,inviolable
a,0.5,0.0,non-negotiable
a,0.125,0.5,untransferable
a,0.125,0.0,live
a,0.375,0.125,liveborn
a,0.5,0.0,viable
a,0.0,0.0,vital
a,0.0,0.75,dead
a,0.0,0.5,gone
a,0.0,0.0,assassinated
a,0.0,0.5,exsanguinous
a,0.0,0.0,brain_dead
a,0.0,0.75,pulseless
a,0.0,0.375,cold
a,0.0,0.0,d.o.a.
a,0.0,0.375,deathly
a,0.0,0.0,defunct
a,0.0,0.375,doomed
a,0.0,0.0,executed
a,0.0,0.25,fallen
a,0.125,0.0,late
a,0.0,0.5,lifeless
a,0.0,0.0,murdered
a,0.0,0.625,nonviable
a,0.0,0.0,slain
a,0.25,0.5,stillborn
a,0.0,0.375,stone-dead
a,0.0,0.0,apocrine
a,0.25,0.0,eccrine
a,0.0,0.0,artesian
a,0.0,0.125,subartesian
a,0.5,0.0,live
a,0.0,0.0,in_play
a,0.0,0.125,living
a,0.0,0.625,dead
a,0.0,0.125,out
a,0.0,0.75,lifeless
a,0.0,0.0,out_of_play
a,0.0,0.0,alphabetical
a,0.0,0.0,abecedarian
a,0.0,0.0,alphabetized
a,0.0,0.125,analphabetic
a,0.0,0.0,altricial
a,0.25,0.0,precocial
a,0.875,0.0,selfless
a,0.375,0.0,self-centred
a,0.5,0.0,self-involved
a,0.125,0.0,ambiguous
a,0.5,0.0,double-barrelled
a,0.0,0.0,double-edged
a,0.25,0.125,oracular
a,0.375,0.375,left-handed
a,0.375,0.0,multivalent
a,0.0,0.0,polysemous
a,0.375,0.375,uncertain
a,0.375,0.0,unambiguous
a,0.125,0.0,monosemous
a,0.5,0.125,ambitious
a,0.625,0.0,pushy
a,0.5,0.0,wishful
a,0.375,0.0,driven
a,0.25,0.0,would-be
a,0.375,0.25,overambitious
a,0.5,0.0,unambitious
a,0.25,0.5,shiftless
a,0.0,0.25,ametropic
a,0.0,0.0,emmetropic
a,0.0,0.0,ample
a,0.0,0.0,good
a,0.25,0.0,generous
a,0.0,0.0,wide-cut
a,0.0,0.625,stingy
a,0.0,0.5,spare
a,0.125,0.625,exiguous
a,0.0,0.5,hand-to-mouth
a,0.0,0.375,hardscrabble
a,0.0,0.0,paltry
a,0.5,0.0,anabolic
a,0.0,0.0,energy-storing
a,0.0,0.75,katabolic
a,0.0,0.0,energy-releasing
a,0.0,0.0,anaclinal
a,0.0,0.0,cataclinal
a,0.0,0.25,stigmatic
a,0.0,0.0,astigmatic
a,0.0,0.0,anticlinal
a,0.0,0.0,synclinal
a,0.0,0.0,anadromous
a,0.0,0.0,catadromous
a,0.0,0.0,diadromous
a,0.0,0.0,anabatic
a,0.0,0.0,katabatic
a,0.0,0.0,anal_retentive
a,0.0,0.0,oral
a,0.0,0.0,linear
a,0.0,0.0,digital
a,0.125,0.0,analytical
a,0.0,0.0,synthetical
a,0.125,0.0,uninflected
a,0.0,0.0,isolating
a,0.0,0.0,synthetic
a,0.0,0.0,polysynthetic
a,0.0,0.0,analytical
a,0.0,0.0,synthetical
a,0.125,0.125,inflectional
a,0.0,0.25,derivational
a,0.0,0.0,apocarpous
a,0.0,0.0,syncarpous
a,0.375,0.375,angry
a,0.0,0.5,provoked
a,0.25,0.25,maddened
a,0.125,0.5,black
a,0.125,0.625,irascible
a,0.125,0.125,hot_under_the_collar
a,0.125,0.0,sore
a,0.0,0.75,umbrageous
a,0.125,0.5,ireful
a,0.125,0.0,livid
a,0.5,0.25,smouldering
a,0.0,0.25,wrothful
a,0.0,0.125,unangry
a,0.0,0.875,resentful
a,0.5,0.25,bitter
a,0.375,0.25,rancorous
a,0.0,0.5,unresentful
a,0.0,0.75,unbitter
a,0.25,0.5,sentient
a,0.125,0.25,sensate
a,0.125,0.5,insentient
a,0.25,0.5,unfeeling
a,0.0,0.0,animate
a,0.0,0.75,nonliving
a,0.0,0.0,nonconscious
a,0.375,0.0,animated
a,0.375,0.0,spirited
a,0.375,0.25,vital
a,0.5,0.125,revived
a,0.375,0.5,unanimated
a,0.25,0.0,lifeless
a,0.25,0.5,wan
a,0.5,0.0,enlivened
a,0.875,0.0,perked_up
a,0.0,0.625,unenlivened
a,0.0,0.0,animate
a,0.0,0.0,inanimate
a,0.0,0.5,anonymous
a,0.0,0.0,unnamed
a,0.0,0.0,onymous
a,0.0,0.0,binominal
a,0.0,0.0,pseudonymous
a,0.0,0.0,antemortem
a,0.0,0.125,postmortem
a,0.0,0.0,antecedent
a,0.0,0.0,prior
a,0.375,0.125,prevenient
a,0.0,0.375,preexisting
a,0.0,0.0,subsequent
a,0.0,0.0,sequent
a,0.0,0.0,ulterior
a,0.0,0.0,antrorse
a,0.0,0.0,retrorse
a,0.0,0.125,decurved
a,0.0,0.0,aquatic
a,0.0,0.0,marine
a,0.0,0.0,subaquatic
a,0.0,0.0,underwater
a,0.0,0.0,terrestrial
a,0.0,0.0,onshore
a,0.0,0.0,overland
a,0.0,0.0,amphibious
a,0.0,0.0,semiaquatic
a,0.0,0.125,preceding
a,0.0,0.125,above
a,0.0,0.125,above-named
a,0.0,0.0,foregoing
a,0.0,0.0,prefatory
a,0.0,0.0,precedent
a,0.0,0.0,premedical
a,0.0,0.0,propaedeutic
a,0.0,0.0,previous
a,0.0,0.0,succeeding
a,0.0,0.375,consecutive
a,0.0,0.0,ensuing
a,0.0,0.0,undermentioned
a,0.0,0.0,next
a,0.0,0.0,in_line
a,0.0,0.0,postmortem
a,0.375,0.0,precedented
a,0.0,0.0,unprecedented
a,0.0,0.625,unexampled
a,0.0,0.0,prehensile
a,0.0,0.125,nonprehensile
a,0.0,0.125,prenatal
a,0.0,0.0,perinatal
a,0.0,0.125,postpartum
a,0.0,0.0,preprandial
a,0.0,0.0,postprandial
a,0.0,0.0,prewar
a,0.0,0.0,postwar
a,0.0,0.125,retrograde
a,0.0,0.125,anterograde
a,0.0,0.0,antemeridian
a,0.0,0.0,ante_meridiem
a,0.0,0.0,postmeridian
a,0.0,0.0,post_meridiem
a,0.0,0.0,anterior
a,0.0,0.0,frontal
a,0.0,0.0,frontal
a,0.0,0.0,prefrontal
a,0.0,0.0,posterior
a,0.0,0.0,hinder
a,0.0,0.0,caudal
a,0.0,0.0,retral
a,0.0,0.0,dorsal
a,0.0,0.0,ventral
a,0.0,0.0,dorsoventral
a,0.5,0.0,appealable
a,0.0,0.5,unappealable
a,0.0,0.0,appendaged
a,0.0,0.625,unappendaged
a,0.5,0.25,appetizing
a,0.625,0.25,savoury
a,0.0,0.75,unappetizing
a,0.0,0.0,approachable
a,0.125,0.125,accessible
a,0.0,0.375,unapproachable
a,0.125,0.625,standoffish
a,0.0,0.0,appropriate
a,0.0,0.0,befitting
a,0.0,0.0,grade-appropriate
a,0.5,0.0,pat
a,0.0,0.0,right
a,0.125,0.75,inappropriate
a,0.0,0.625,unbefitting
a,0.0,0.875,wrong
a,0.0,0.0,due
a,0.0,0.0,callable
a,0.0,0.0,collect
a,0.125,0.125,payable
a,0.0,0.25,overdue
a,0.0,0.0,receivable
a,0.0,0.0,out-of-pocket
a,0.0,0.0,repayable
a,0.125,0.25,undue
a,0.75,0.0,due
a,0.0,0.625,undue
a,0.5,0.125,apropos
a,0.375,0.25,pertinent
a,0.25,0.75,malapropos
a,0.125,0.875,out_of_place
a,0.25,0.0,a_priori
a,0.125,0.0,a_posteriori
a,0.0,0.5,apteral
a,0.375,0.0,porticoed
a,0.375,0.0,pseudoprostyle
a,0.0,0.0,peripteral
a,0.0,0.0,monopteral
a,0.0,0.0,pseudoperipteral
a,0.0,0.0,arbitrable
a,0.0,0.625,nonarbitrable
a,0.125,0.0,columned
a,0.0,0.0,amphistylar
a,0.375,0.25,columnar
a,0.0,0.0,columnlike
a,0.125,0.0,colonnaded
a,0.125,0.0,pillared
a,0.0,0.5,uncolumned
a,0.0,0.25,astylar
a,0.125,0.25,unpillared
a,0.0,0.0,tree-living
a,0.0,0.625,nonarboreal
a,0.0,0.125,sandy
a,0.0,0.125,clayey
a,0.25,0.125,armed
a,0.0,0.0,weaponed
a,0.0,0.0,light-armed
a,0.0,0.0,militarized
a,0.0,0.5,unarmed
a,0.125,0.0,barehanded
a,0.125,0.0,clean
a,0.0,0.125,defenseless
a,0.0,0.0,weaponless
a,0.0,0.125,armoured
a,0.0,0.375,steel-plated
a,0.0,0.5,bony-plated
a,0.375,0.25,bulletproof
a,0.0,0.0,lightly_armoured
a,0.0,0.0,mail-cheeked
a,0.0,0.125,mailed
a,0.0,0.0,scaled
a,0.0,0.0,unarmoured
a,0.0,0.125,armed
a,0.0,0.375,thorny
a,0.25,0.25,bristlelike
a,0.0,0.125,brushlike
a,0.25,0.25,thistlelike
a,0.0,0.25,taloned
a,0.0,0.625,unarmed
a,0.125,0.375,thornless
a,0.0,0.0,armed
a,0.0,0.125,armlike
a,0.0,0.0,brachiate
a,0.0,0.0,long-armed
a,0.0,0.0,one-armed
a,0.0,0.0,armless
a,0.0,0.125,armoured
a,0.0,0.125,bone-covered
a,0.0,0.0,scaly
a,0.0,0.0,silver-scaled
a,0.0,0.125,unarmoured
a,0.0,0.625,scaleless
a,0.625,0.0,artful
a,0.625,0.125,wily
a,0.625,0.0,precious
a,0.125,0.0,scheming
a,0.625,0.0,deep
a,0.625,0.0,elusive
a,0.25,0.0,manipulative
a,0.125,0.25,pawky
a,0.25,0.625,artless
a,0.25,0.375,careless
a,0.125,0.5,articulate
a,0.375,0.125,smooth-spoken
a,0.5,0.0,speech-endowed
a,0.0,0.0,well-spoken
a,0.0,0.625,unarticulate
a,0.0,0.75,aphasic
a,0.0,0.75,voiceless
a,0.0,0.0,silent
a,0.0,0.0,dumb
a,0.125,0.5,tongue-tied
a,0.25,0.5,wordless
a,0.0,0.625,speechless
a,0.0,0.5,unarticulated
a,0.5,0.0,speaking
a,0.0,0.25,tongued
a,0.0,0.5,walk-on
a,0.0,0.625,articulated
a,0.0,0.0,jointed
a,0.0,0.625,unarticulated
a,0.0,0.5,unjointed
a,0.0,0.75,ashamed
a,0.0,0.5,shamed
a,0.0,0.5,mortified
a,0.5,0.25,shamefaced
a,0.5,0.25,sheepish
a,0.25,0.25,unashamed
a,0.75,0.125,insolent
a,0.125,0.625,unblushing
a,0.0,0.375,unembarrassed
a,0.625,0.25,self-assertive
a,0.5,0.25,cocky
a,0.25,0.0,forceful
a,0.625,0.0,unassertive
a,0.25,0.375,nonassertive
a,0.125,0.25,self-effacing
a,0.0,0.625,associatory
a,0.625,0.0,associable
a,0.0,0.125,nonassociative
a,0.125,0.125,committed
a,0.25,0.0,betrothed
a,0.0,0.0,intended
a,0.0,0.0,involved
a,0.0,0.75,uncommitted
a,0.0,0.625,unpromised
a,0.125,0.0,affixed
a,0.0,0.0,appendant
a,0.0,0.0,basifixed
a,0.0,0.0,pasted
a,0.0,0.0,mounted
a,0.0,0.25,unaffixed
a,0.0,0.125,stalkless
a,0.0,0.125,stalked
a,0.0,0.625,sessile
a,0.0,0.0,vagile
a,0.0,0.125,unattached
a,0.0,0.0,attached
a,0.0,0.0,detached
a,0.0,0.5,separate
a,0.0,0.0,semidetached
a,0.0,0.0,stuck
a,0.0,0.0,cragfast
a,0.5,0.25,unstuck
a,0.5,0.0,attachable
a,0.5,0.0,bondable
a,0.125,0.0,clip-on
a,0.0,0.0,tie-on
a,0.25,0.0,detachable
a,0.625,0.0,clastic
a,0.625,0.0,wary
a,0.375,0.0,upon_one's_guard
a,0.375,0.125,shy
a,0.125,0.625,unwary
a,0.5,0.125,gullible
a,0.0,0.25,unguarded
a,0.25,0.0,attentive
a,0.25,0.125,wrapped
a,0.5,0.0,heedful
a,0.5,0.0,observant
a,0.125,0.625,oversolicitous
a,0.375,0.125,solicitous
a,0.25,0.375,inattentive
a,0.375,0.125,scatty
a,0.0,0.25,distrait
a,0.25,0.25,woolgathering
a,0.25,0.375,yawning
a,0.375,0.0,oblivious
a,0.875,0.0,attractive
a,0.5,0.0,fascinating
a,0.5,0.0,magnetic
a,0.5,0.0,cute
a,0.5,0.0,dinky
a,0.875,0.0,piquant
a,0.625,0.0,winning
a,0.0,0.375,showy
a,0.375,0.0,spellbinding
a,0.625,0.125,irresistible
a,0.625,0.0,personable
a,0.5,0.0,photogenic
a,0.5,0.0,prepossessing
a,0.625,0.0,winsome
a,0.5,0.25,unattractive
a,0.375,0.25,plain
a,0.125,0.25,subfusc
a,0.0,0.125,unpresentable
a,0.0,0.0,attractive
a,0.5,0.0,repulsive
a,0.25,0.0,appealing
a,0.25,0.0,catchy
a,0.375,0.0,attractive
a,0.125,0.625,unappealing
a,0.25,0.5,off-putting
a,0.375,0.0,unattractive
a,0.625,0.0,attributable
a,0.0,0.25,referable
a,0.0,0.0,credited
a,0.0,0.0,traceable
a,0.125,0.25,unattributable
a,0.0,0.0,prenominal
a,0.0,0.0,attributive_genitive
a,0.0,0.0,predicative
a,0.0,0.0,pregnant
a,0.0,0.0,with_child
a,0.0,0.125,nonpregnant
a,0.375,0.0,hearable
a,0.0,0.0,clunky
a,0.0,0.0,sonic
a,0.0,0.0,sounding
a,0.125,0.5,unhearable
a,0.125,0.0,voiceless
a,0.375,0.0,infrasonic
a,0.0,0.0,silent
a,0.0,0.625,unsounded
a,0.375,0.0,ultrasonic
a,0.25,0.0,unheard
a,0.0,0.0,transonic
a,0.0,0.0,subsonic
a,0.0,0.0,supersonic
a,0.625,0.0,auspicious
a,0.0,0.375,promising
a,0.75,0.0,rosy
a,0.111,0.889,unfortunate
a,0.125,0.5,unpromising
